#separator:tab
#html:true
#columns:Front	Back	Tags
never	nemtempo<br>无时<br>no-time	pikotika level2 compound
night	nemyan<br>无日<br>no-sun	pikotika level2 compound
problem; trouble	marumkosa<br>悪物<br>bad-thing	pikotika level2 compound
false; untrue; if (counterfactual)	nonves<br>不真<br>not-true	pikotika level2 compound
I don't want to make trouble.	Eko ri non vori vake a marumkosa.<br>己 ⊢ 不 求 作 ⇒ 悪物.<br>I RI not want make A bad-thing.	pikotika level2 sentence
Good night.	Pona nemyan.<br>好 无日.<br>good no-sun.	pikotika level2 sentence
I did nothing.	Eko ri vake a nem.<br>己 ⊢ 作 ⇒ 无.<br>I RI make A no.	pikotika level2 sentence
up; on	sur<br>上<br>the <i>sur</i>face is on top	pikotika level2 root
fast; soon	veros<br>早<br><i>ver</i>y fast, <i>veloc</i>ity	pikotika level2 root
near; almost	nir<br>近<br><i>near</i>	pikotika level2 root
from; than	vons<br>从<br>a <i>fon</i>t is a source, from which things spring	pikotika level2 root
morning	suryan<br>上日<br>up-sun	pikotika level2 compound
today	tisyan<br>此日<br>this-sun	pikotika level2 compound
yesterday	yanyer<br>日前<br>sun-before	pikotika level2 compound
tomorrow	yantar<br>日后<br>sun-after	pikotika level2 compound
tonight	tisnemyan<br>此无日<br>this-no-sun	pikotika level2 compound
slow; slowly	nonveros<br>不早<br>not-fast	pikotika level2 compound
Nine in the morning.	Suryan 9 ora.<br>上日 9 刻.<br>up-sun 9 hour.	pikotika level2 sentence
Good morning!	Pona suryan!<br>好 上日!<br>good up-sun!	pikotika level2 sentence
Almost.	Nir.<br>近.<br>near.	pikotika level2 sentence
three; 3	tets<br>3<br>picture Three-Eared Triangles — three <i>tets</i>	pikotika level2 root
four; 4	wats<br>4<br>4 <i>watts</i> is just enough to light a bulb these days	pikotika level2 root
five; 5	kins<br>5<br>my sister had <i>quin</i>tuplets — five <i>kins</i>	pikotika level2 root
six; 6	siks<br>6<br><i>six</i>	pikotika level2 root
seven; 7	sens<br>7<br>seven <i>cents</i>	pikotika level2 root
eight; 8	ots<br>8<br><i>oct</i>opus (minus the 'c') has 8 arms	pikotika level2 root
nine; 9	noks<br>9<br>nine <i>knocks</i> on the door	pikotika level2 root
ten; 10	tekas<br>十<br>a <i>deca</i>de is ten years	pikotika level2 root
middle; among	mets<br>中<br>the <i>Mets</i> are in the middle of the league this year	pikotika level2 root
midday; noon	metseyan<br>中日<br>middle-sun	pikotika level2 compound
Yes, that's the one.	Si, tis.<br>是, 此.<br>yes, this.	pikotika level2 sentence
Please come at seven.	Pam veni in sens ora.<br>乞 来 内 7 刻.<br>please come in seven hour.	pikotika level2 sentence
How was your weekend?	Tu senseyanvin ri kermoto?<br>尔 7日閉 ⊢ 何方?<br>you seven-sun-finish RI what-manner?	pikotika level2 sentence
drink; beverage	pipe<br>飲<br>drink now, <i>pee-pay</i> for it later!	pikotika level2 root
like; enjoy	kusta<br>愛<br>gives me <i>gusto</i> — I like it	pikotika level2 root
animal; creature	peste<br>匹<br>a <i>pest</i> is a critter	pikotika level2 root
thirsty	pipevori<br>飲求<br>drink-want	pikotika level2 compound
meal (a sitting); mealtime	komitempo<br>食时<br>food-time	pikotika level2 compound
soup	akukomi<br>水食<br>water-food	pikotika level2 compound
fish	akupeste<br>水匹<br>water-animal	pikotika level2 compound
sea	mekaaku<br>大水<br>big-water	pikotika level2 compound
swim	akuire<br>水行<br>water-go	pikotika level2 compound
who	keromo<br>何人<br>what-person	pikotika level2 compound
where	kerroko<br>何所<br>what-place	pikotika level2 compound
when; on what occasion	kertempo<br>何时<br>what-time	pikotika level2 compound
what time; at what o'clock	kerora<br>何刻<br>what-hour	pikotika level2 compound
question; ask; inquire	kertika<br>何言<br>what-say	pikotika level2 compound
I see a small fish.	Eko ri vite a piko akupeste.<br>己 ⊢ 見 ⇒ 小 水匹.<br>I RI see A small water-animal.	pikotika level2 sentence
And I'll have the fish, please.	Kum eko ri vori a akupeste, pam.<br>并 己 ⊢ 求 ⇒ 水匹, 乞.<br>and I RI want A water-animal, please.	pikotika level2 sentence
I drink tea with my father.	Eko ri pipe a arpoaku kum eko viropari.<br>己 ⊢ 飲 ⇒ 木水 并 己 男亲.<br>I RI drink A plant-water and me man-parent.	pikotika level2 sentence
thank; gratitude	mersi<br>恩<br>French <i>merci</i>!	pikotika level2 root
for; in order to	por<br>為<br><i>pour</i> a drink for me	pikotika level2 root
about; regarding	topi<br>件<br>on the <i>topi</i>c of	pikotika level2 root
sad	nonkonten<br>不楽<br>not-happy	pikotika level2 compound
beautiful; pretty; good-looking	ponavite<br>好見<br>good-see	pikotika level2 compound
welcome	kontenveni<br>楽来<br>happy-come	pikotika level2 compound
tears; cry	viteaku<br>見水<br>see-water	pikotika level2 compound
discover; find something new	novavite<br>初見<br>new-see	pikotika level2 compound
About the big fish!	Topi meka akupeste!<br>件 大 水匹!<br>about big water-animal!	pikotika level2 sentence
I thank you.	Eko ri mersi a tu.<br>己 ⊢ 恩 ⇒ 尔.<br>I RI thank A you.	pikotika level2 sentence
Thank you.	Mersi.<br>恩.<br>thank.	pikotika level2 sentence
write; writing	kita<br>写<br>I can write with my writing <i>kit</i>	pikotika level2 root
work; job	opus<br>力<br>your magnum <i>opus</i> — life's work	pikotika level2 root
can; ability	kan<br>能<br><i>can</i>	pikotika level2 root
join; connect	yunta<br>合<br><i>you 'n' ta</i> others are now joined!	pikotika level2 root
read	kitavite<br>写見<br>write-see	pikotika level2 compound
writer; author	kitaomo<br>写人<br>write-person	pikotika level2 compound
I love the sea, but I can't swim.	Eko ri mekakusta a mekaaku, sets eko ri non kan akuire.<br>己 ⊢ 大愛 ⇒ 大水, 但 己 ⊢ 不 能 水行.<br>I RI big-like A big-water, but I RI not can water-go.	pikotika level2 sentence
You can do it.	Tu ri kan vake a tis.<br>尔 ⊢ 能 作 ⇒ 此.<br>you RI can do A this.	pikotika level2 sentence
You work well.	Tu ri pona opus.<br>尔 ⊢ 好 力.<br>you RI good work.	pikotika level2 sentence
more; extra	mas<br>更<br><i>mas</i>sive means more	pikotika level2 root
interval; duration	turan<br>間<br>the <i>dur</i>ation you need <i>to run</i>	pikotika level2 root
music; song	musi<br>曲<br><i>musi</i>c	pikotika level2 root
love; adore; be in love with	mekakusta<br>大愛<br>big-like	pikotika level2 compound
breakfast	suryankomi<br>上日食<br>up-sun-food	pikotika level2 compound
prepare; get ready; arrange	yervake<br>前作<br>before-make	pikotika level2 compound
politeness (verbal)	pamtika<br>乞言<br>please-say	pikotika level2 compound
reader	kitaviteomo<br>写見人<br>write-see-person	pikotika level2 compound
trip; journey	veniire<br>来行<br>come-go	pikotika level2 compound
I'm thirsty again.	Eko ri mas pipevori.<br>己 ⊢ 更 飲求.<br>I RI more drink-want.	pikotika level2 sentence
That sounds better than working.	Tis ri mas pona vons opus.<br>此 ⊢ 更 好 从 力.<br>this RI more good than work.	pikotika level2 sentence
Next time, tell me sooner.	In tar tempo, pam mas veros tika ver eko.<br>内 后 时, 乞 更 早 言 向 己.<br>in after time, please more fast say to me.	pikotika level2 sentence
How are your children?	Tu nino ri kermoto?<br>尔 子 ⊢ 何方?<br>you child RI what-manner?	pikotika level2 sentence
No, I don't see.	Non vite.<br>不 見.<br>not see.	pikotika level2 sentence
Alice: Yes please.	Aras: Si, pam.<br>Aras: 是, 乞.<br>Alice: yes, please.	pikotika level2 sentence
Of course!	Ves!<br>真!<br>true!	pikotika level2 sentence
Yes, under Lena.	Si, in nomen Rena.<br>是, 内 名 Rena.<br>yes, in name Lena.	pikotika level2 sentence
Big!	Meka!<br>大!<br>big!	pikotika level2 sentence
What are your children doing?	Tu nino ri vake a ker?<br>尔 子 ⊢ 作 ⇒ 何?<br>you child RI make A what?	pikotika level2 sentence
I like music and reading.	Eko ri kusta a musi kum kitavite.<br>己 ⊢ 愛 ⇒ 曲 并 写見.<br>I RI like A music and write-see.	pikotika level2 sentence
