#separator:tab
#html:true
#columns:Front	Back	Tags
You are right.	Tu ri ves.<br>尔 ⊢ 真.<br>you RI true.	pikotika level1 sentence
I'm here.	Eko ri in tisroko.<br>己 ⊢ 内 此所.<br>I RI in this-place.	pikotika level1 sentence
person; one who	omo<br>人<br>h<i>omo</i> sapiens — a person	pikotika level1 root
child; offspring	nino<br>子<br>Spanish <i>niño</i>	pikotika level1 root
group; team	men<br>众<br>a whole group of <i>men</i> forming a team	pikotika level1 root
thing; matter	kosa<br>物<br>Spanish/Italian "cosa"	pikotika level1 root
we; us	ekomen<br>己众<br>I-group	pikotika level1 compound
he; she; him	tisomo<br>此人<br>this-person	pikotika level1 compound
that; those	nontis<br>不此<br>not-this	pikotika level1 compound
The child is small.	Nino ri piko.<br>子 ⊢ 小.<br>child RI small.	pikotika level1 sentence
The child wants water.	Nino ri vori a aku.<br>子 ⊢ 求 ⇒ 水.<br>child RI want A water.	pikotika level1 sentence
He/she is eating.	Tisomo ri komi.<br>此人 ⊢ 食.<br>this-person RI food.	pikotika level1 sentence
sun; day	yan<br>日<br><i>yan</i>g: the bright sunny side ☯	pikotika level1 root
hour; o'clock	ora<br>刻<br>an <i>h-ora</i>	pikotika level1 root
time; occasion	tempo<br>时<br><i>tempo</i> is time	pikotika level1 root
finish; close	vin<br>閉<br>photo <i>fin</i>ish ends the race	pikotika level1 root
moment	pikotempo<br>小时<br>small-time	pikotika level1 compound
ready; prepared	yervin<br>前閉<br>before-finish	pikotika level1 compound
finally; at last; in the end	invin<br>内閉<br>in-finish	pikotika level1 compound
now; at present	tistempo<br>此时<br>this-time	pikotika level1 compound
It's late.	Ora ri tar.<br>刻 ⊢ 后.<br>hour RI after.	pikotika level1 sentence
It's late.	Tempo ri tar.<br>时 ⊢ 后.<br>time RI after.	pikotika level1 sentence
Tomorrow we're going to the sea.	Yantar, ekomen ri ire ver mekaaku.<br>日后, 己众 ⊢ 行 向 大水.<br>sun-after, I-group RI go to big-water.	pikotika level1 sentence
say; word	tika<br>言<br>the enchanted <i>teacu</i>ps can talk and say words!	pikotika level1 root
what; question	ker<br>何<br>I <i>care</i> what is what!	pikotika level1 root
one; 1	wun<br>一<br><i>one</i>	pikotika level1 root
two; 2	pits<br>2<br>a pair of cherry <i>pits</i>	pikotika level1 root
story; tale	tikakosa<br>言物<br>say-thing	pikotika level1 compound
request; ask for	voritika<br>求言<br>want-say	pikotika level1 compound
small talk; chat; Pikotika (the language)	pikotika<br>小言<br>small-say	pikotika level1 compound
A Chinese person speaks Chinese.	Taina omo ri tika a Tainis.<br>Taina 人 ⊢ 言 ⇒ Tainis.<br>China person RI say A Chinese.	pikotika level1 sentence
The story is true.	Tikakosa ri ves.<br>言物 ⊢ 真.<br>say-thing RI true.	pikotika level1 sentence
What would you like?	Tu ri vori a ker?<br>尔 ⊢ 求 ⇒ 何?<br>you RI want A what?	pikotika level1 sentence
Is that right?	Tis ri ves, si?<br>此 ⊢ 真, 是?<br>this RI true, yes?	pikotika level1 sentence
A short one.	Piko tikakosa.<br>小 言物.<br>small say-thing.	pikotika level1 sentence
Please leave.	Pam eksire.<br>乞 外行.<br>please out-go.	pikotika level1 sentence
see; understand	vite<br>見<br>I see the <i>vide</i>o	pikotika level2 root
have; own	tene<br>有<br>you're <i>tena</i>cious if you hold on to what you have	pikotika level2 root
get; take	toma<br>取<br>I need to get that <i>tome</i>, maybe I'll just take it!	pikotika level2 root
make; do	vake<br>作<br><i>bake</i> it, make it	pikotika level2 root
come; arrive	veni<br>来<br><i>veni</i>, vidi, vici  (I came, I saw, I conquered)	pikotika level2 root
bring	teneveni<br>有来<br>have-come	pikotika level2 compound
carry; take along; transport	teneire<br>有行<br>have-go	pikotika level2 compound
fetch; go and get	tomaire<br>取行<br>get-go	pikotika level2 compound
ship; boat	akukaro<br>水车<br>water-vehicle	pikotika level2 compound
manner; road	moto<br>方<br>the <i>moto</i>rway is a road	pikotika level2 root
how	kermoto<br>何方<br>what-manner	pikotika level2 compound
I want you to come.	Eko ri vori a tu ri veni.<br>己 ⊢ 求 ⇒ 尔 ⊢ 来.<br>I RI want A you RI come.	pikotika level2 sentence
Alice: OK, I'll take it!	Aras: Pona, eko ri toma a tis!<br>Aras: 好, 己 ⊢ 取 ⇒ 此!<br>Alice: good, I RI get A this!	pikotika level2 sentence
Someone is coming.	Ri veni.<br>⊢ 来.<br>RI come.	pikotika level2 sentence
parent; ancestor	pari<br>亲<br><i>par</i>ent	pikotika level2 root
woman; female	vema<br>女<br>from <i>fema</i>le	pikotika level2 root
man; male	viro<br>男<br><i>vir</i>ile man	pikotika level2 root
name; label	nomen<br>名<br><i>nomen</i>clature is naming	pikotika level2 root
mother	vemapari<br>女亲<br>woman-parent	pikotika level2 compound
father	viropari<br>男亲<br>man-parent	pikotika level2 compound
relative (kin)	parimen<br>亲众<br>parent-group	pikotika level2 compound
cook (person)	komivakeomo<br>食作人<br>food-make-person	pikotika level2 compound
eye	viteparte<br>見分<br>see-part	pikotika level2 compound
Today I'm meeting your relatives.	Tisyan, eko ri sarve a tu parimen.<br>此日, 己 ⊢ 会 ⇒ 尔 亲众.<br>this-sun, I RI meet A you parent-group.	pikotika level2 sentence
My mother makes good food.	Eko vemapari ri vake a pona komi.<br>己 女亲 ⊢ 作 ⇒ 好 食.<br>me woman-parent RI make A good food.	pikotika level2 sentence
Yes, under Lena.	Si, in nomen Rena.<br>是, 内 名 Rena.<br>yes, in name Lena.	pikotika level2 sentence
no; none	nem<br>无<br><i>Nem</i>o is NO-where to be found!	pikotika level2 root
bad; wrong	marum<br>悪<br>careful with those paintings; if you <i>mar 'em</i>, that's bad	pikotika level2 root
but; however	sets<br>但<br>yes, but — he <i>sets</i> a condition	pikotika level2 root
only; just	son<br>只<br>an only <i>son</i>	pikotika level2 root
nobody; no one	nemomo<br>无人<br>no-person	pikotika level2 compound
nowhere	nemroko<br>无所<br>no-place	pikotika level2 compound
nothing	nemkosa<br>无物<br>no-thing	pikotika level2 compound
never	nemtempo<br>无时<br>no-time	pikotika level2 compound
night	nemyan<br>无日<br>no-sun	pikotika level2 compound
problem; trouble	marumkosa<br>悪物<br>bad-thing	pikotika level2 compound
false; untrue; if (counterfactual)	nonves<br>不真<br>not-true	pikotika level2 compound
I don't want to make trouble.	Eko ri non vori vake a marumkosa.<br>己 ⊢ 不 求 作 ⇒ 悪物.<br>I RI not want make A bad-thing.	pikotika level2 sentence
Good night.	Pona nemyan.<br>好 无日.<br>good no-sun.	pikotika level2 sentence
I did nothing.	Eko ri vake a nem.<br>己 ⊢ 作 ⇒ 无.<br>I RI make A no.	pikotika level2 sentence
up; on	sur<br>上<br>the <i>sur</i>face is on top	pikotika level2 root
fast; soon	veros<br>早<br><i>ver</i>y fast, <i>veloc</i>ity	pikotika level2 root
near; almost	nir<br>近<br><i>near</i>	pikotika level2 root
from; than	vons<br>从<br>a <i>fon</i>t is a source, from which things spring	pikotika level2 root
morning	suryan<br>上日<br>up-sun	pikotika level2 compound
today	tisyan<br>此日<br>this-sun	pikotika level2 compound
yesterday	yanyer<br>日前<br>sun-before	pikotika level2 compound
tomorrow	yantar<br>日后<br>sun-after	pikotika level2 compound
tonight	tisnemyan<br>此无日<br>this-no-sun	pikotika level2 compound
slow; slowly	nonveros<br>不早<br>not-fast	pikotika level2 compound
Nine in the morning.	Suryan 9 ora.<br>上日 9 刻.<br>up-sun 9 hour.	pikotika level2 sentence
Good morning!	Pona suryan!<br>好 上日!<br>good up-sun!	pikotika level2 sentence
Almost.	Nir.<br>近.<br>near.	pikotika level2 sentence
three; 3	tets<br>3<br>picture Three-Eared Triangles — three <i>tets</i>	pikotika level2 root
four; 4	wats<br>4<br>4 <i>watts</i> is just enough to light a bulb these days	pikotika level2 root
five; 5	kins<br>5<br>my sister had <i>quin</i>tuplets — five <i>kins</i>	pikotika level2 root
six; 6	siks<br>6<br><i>six</i>	pikotika level2 root
seven; 7	sens<br>7<br>seven <i>cents</i>	pikotika level2 root
eight; 8	ots<br>8<br><i>oct</i>opus (minus the 'c') has 8 arms	pikotika level2 root
nine; 9	noks<br>9<br>nine <i>knocks</i> on the door	pikotika level2 root
ten; 10	tekas<br>十<br>a <i>deca</i>de is ten years	pikotika level2 root
middle; among	mets<br>中<br>the <i>Mets</i> are in the middle of the league this year	pikotika level2 root
midday; noon	metseyan<br>中日<br>middle-sun	pikotika level2 compound
Close your eyes...	Pam vin a tu viteparte...<br>乞 閉 ⇒ 尔 見分...<br>please close A you see-part...	pikotika level2 sentence
Please come at seven.	Pam veni in sens ora.<br>乞 来 内 7 刻.<br>please come in seven hour.	pikotika level2 sentence
How was your weekend?	Tu senseyanvin ri kermoto?<br>尔 7日閉 ⊢ 何方?<br>you seven-sun-finish RI what-manner?	pikotika level2 sentence
drink; beverage	pipe<br>飲<br>drink now, <i>pee-pay</i> for it later!	pikotika level2 root
like; enjoy	kusta<br>愛<br>gives me <i>gusto</i> — I like it	pikotika level2 root
animal; creature	peste<br>匹<br>a <i>pest</i> is a critter	pikotika level2 root
thirsty	pipevori<br>飲求<br>drink-want	pikotika level2 compound
meal (a sitting); mealtime	komitempo<br>食时<br>food-time	pikotika level2 compound
soup	akukomi<br>水食<br>water-food	pikotika level2 compound
fish	akupeste<br>水匹<br>water-animal	pikotika level2 compound
sea	mekaaku<br>大水<br>big-water	pikotika level2 compound
swim	akuire<br>水行<br>water-go	pikotika level2 compound
who	keromo<br>何人<br>what-person	pikotika level2 compound
where	kerroko<br>何所<br>what-place	pikotika level2 compound
when; on what occasion	kertempo<br>何时<br>what-time	pikotika level2 compound
what time; at what o'clock	kerora<br>何刻<br>what-hour	pikotika level2 compound
question; ask; inquire	kertika<br>何言<br>what-say	pikotika level2 compound
I see a small fish.	Eko ri vite a piko akupeste.<br>己 ⊢ 見 ⇒ 小 水匹.<br>I RI see A small water-animal.	pikotika level2 sentence
And I'll have the fish, please.	Kum eko ri vori a akupeste, pam.<br>并 己 ⊢ 求 ⇒ 水匹, 乞.<br>and I RI want A water-animal, please.	pikotika level2 sentence
I drink tea with my father.	Eko ri pipe a arpoaku kum eko viropari.<br>己 ⊢ 飲 ⇒ 木水 并 己 男亲.<br>I RI drink A plant-water and me man-parent.	pikotika level2 sentence
thank; gratitude	mersi<br>恩<br>French <i>merci</i>!	pikotika level2 root
for; in order to	por<br>為<br><i>pour</i> a drink for me	pikotika level2 root
about; regarding	topi<br>件<br>on the <i>topi</i>c of	pikotika level2 root
sad	nonkonten<br>不楽<br>not-happy	pikotika level2 compound
beautiful; pretty; good-looking	ponavite<br>好見<br>good-see	pikotika level2 compound
welcome	kontenveni<br>楽来<br>happy-come	pikotika level2 compound
tears; cry	viteaku<br>見水<br>see-water	pikotika level2 compound
discover; find something new	novavite<br>初見<br>new-see	pikotika level2 compound
About the big fish!	Topi meka akupeste!<br>件 大 水匹!<br>about big water-animal!	pikotika level2 sentence
I thank you.	Eko ri mersi a tu.<br>己 ⊢ 恩 ⇒ 尔.<br>I RI thank A you.	pikotika level2 sentence
Thank you.	Mersi.<br>恩.<br>thank.	pikotika level2 sentence
write; writing	kita<br>写<br>I can write with my writing <i>kit</i>	pikotika level2 root
work; job	opus<br>力<br>your magnum <i>opus</i> — life's work	pikotika level2 root
can; ability	kan<br>能<br><i>can</i>	pikotika level2 root
join; connect	yunta<br>合<br><i>you 'n' ta</i> others are now joined!	pikotika level2 root
read	kitavite<br>写見<br>write-see	pikotika level2 compound
writer; author	kitaomo<br>写人<br>write-person	pikotika level2 compound
But the last part isn't written.	Sets vin parte ri non kita vin.<br>但 閉 分 ⊢ 不 写 閉.<br>but finish part RI not write finish.	pikotika level2 sentence
We work together.	Ekomen ri yunta opus.<br>己众 ⊢ 合 力.<br>I-group RI join work.	pikotika level2 sentence
But come at seven and we can eat first.	Sets pam veni in 7 ora, kum ekomen ri kan yer komi.<br>但 乞 来 内 7 刻, 并 己众 ⊢ 能 前 食.<br>but please come in 7 hour, and I-group RI can before food.	pikotika level2 sentence
more; extra	mas<br>更<br><i>mas</i>sive means more	pikotika level2 root
interval; duration	turan<br>間<br>the <i>dur</i>ation you need <i>to run</i>	pikotika level2 root
music; song	musi<br>曲<br><i>musi</i>c	pikotika level2 root
love; adore; be in love with	mekakusta<br>大愛<br>big-like	pikotika level2 compound
breakfast	suryankomi<br>上日食<br>up-sun-food	pikotika level2 compound
prepare; get ready; arrange	yervake<br>前作<br>before-make	pikotika level2 compound
politeness (verbal)	pamtika<br>乞言<br>please-say	pikotika level2 compound
reader	kitaviteomo<br>写見人<br>write-see-person	pikotika level2 compound
trip; journey	veniire<br>来行<br>come-go	pikotika level2 compound
Next time, tell me sooner.	In tar tempo, pam mas veros tika ver eko.<br>内 后 时, 乞 更 早 言 向 己.<br>in after time, please more fast say to me.	pikotika level2 sentence
I'm thirsty again.	Eko ri mas pipevori.<br>己 ⊢ 更 飲求.<br>I RI more drink-want.	pikotika level2 sentence
Thirty seconds.	30 pikoparte turan.<br>30 小分 間.<br>30 small-part interval.	pikotika level2 sentence
Please speak.	Pam tika.<br>乞 言.<br>please say.	pikotika level2 sentence
Thank you.	Meka mersi.<br>大 恩.<br>big thank.	pikotika level2 sentence
I'm finished.	Eko ri vin.<br>己 ⊢ 閉.<br>I RI finish.	pikotika level2 sentence
color; hue	koror<br>色<br><i>color</i>	pikotika level3 root
black; dark	nero<br>黒<br><i>Nero</i> fiddled till Rome went black	pikotika level3 root
white; pale	anka<br>白<br>a bl<i>ank</i> paper is white	pikotika level3 root
red	rus<br>赤<br><i>rus</i>t is red	pikotika level3 root
blue	asur<br>青<br><i>azur</i>e skies, for <i>sur</i>e	pikotika level3 root
green	verte<br>緑<br><i>ver</i>y green, <i>verd</i>ant	pikotika level3 root
yellow	yoro<br>黄<br><i>yo</i>, that <i>yo</i>lk is yellow	pikotika level3 root
cyan	asurverte<br>青緑<br>blue-green	pikotika level3 compound
purple	rusasur<br>赤青<br>red-blue	pikotika level3 compound
pink	rusanka<br>赤白<br>red-white	pikotika level3 compound
orange	rusyoro<br>赤黄<br>red-yellow	pikotika level3 compound
This is a yellow fruit.	Tis ri yoro pomo.<br>此 ⊢ 黄 果.<br>this RI yellow fruit.	pikotika level3 sentence
And these red ones — what are they?	Kum tis rus kosa ri ker?<br>并 此 赤 物 ⊢ 何?<br>and this red thing RI what?	pikotika level3 sentence
Can we go to the park sometime?	Ekomen ri kan ire ver verteroko in tar tempo, ker?<br>己众 ⊢ 能 行 向 緑所 内 后 时, 何?<br>I-group RI can go to green-place in after time, what?	pikotika level3 sentence
every; all	pan<br>全<br>a <i>pan</i>demic hits everyone	pikotika level3 root
everyone; everybody	panomo<br>全人<br>every-person	pikotika level3 compound
everywhere	panroko<br>全所<br>every-place	pikotika level3 compound
everything	pankosa<br>全物<br>every-thing	pikotika level3 compound
always	pantempo<br>全时<br>every-time	pikotika level3 compound
Everybody says that.	Panomo ri tika a tis.<br>全人 ⊢ 言 ⇒ 此.<br>every-person RI say A this.	pikotika level3 sentence
All is good.	Pan ri pona.<br>全 ⊢ 好.<br>all RI good.	pikotika level3 sentence
Always.	Pantempo.<br>全时.<br>every-time.	pikotika level3 sentence
hot; fire	wo<br>火<br><i>whoa</i>, that fire is hot!	pikotika level3 root
air; wind	vento<br>风<br><i>vent</i>ilate the air	pikotika level3 root
earth; ground	tera<br>土<br><i>terra</i> firma, solid ground	pikotika level3 root
metal	metar<br>金<br><i>metal</i>	pikotika level3 root
stone; mineral	rapis<br>岩<br><i>rap is</i> hard as rock	pikotika level3 root
gale; strong wind	mekavento<br>大风<br>big-air	pikotika level3 compound
brown	terakoror<br>土色<br>earth-color	pikotika level3 compound
grey	rapiskoror<br>岩色<br>stone-color	pikotika level3 compound
airplane	ventokaro<br>风车<br>air-vehicle	pikotika level3 compound
airport	ventokaroroko<br>风车所<br>air-vehicle-place	pikotika level3 compound
This is for you.	Tis ri por tu.<br>此 ⊢ 為 尔.<br>this RI for you.	pikotika level3 sentence
It was.	Ves.<br>真.<br>true.	pikotika level3 sentence
weekday	yom<br>曜<br><i>Yom</i> Kippur — a named day	pikotika level3 root
month; moon	mese<br>月<br>you <i>may say</i> the moon phases take a month	pikotika level3 root
year	anyo<br>年<br>Spanish <i>año</i> (year); <i>annu</i>al	pikotika level3 root
Sunday	yanyom<br>日曜<br>sun-weekday	pikotika level3 compound
Monday	meseyom<br>月曜<br>month-weekday	pikotika level3 compound
Tuesday	woyom<br>火曜<br>fire-weekday	pikotika level3 compound
Wednesday	akuyom<br>水曜<br>water-weekday	pikotika level3 compound
Thursday	arpoyom<br>木曜<br>plant-weekday	pikotika level3 compound
Friday	metaryom<br>金曜<br>metal-weekday	pikotika level3 compound
Saturday	terayom<br>土曜<br>earth-weekday	pikotika level3 compound
what day; on what day of the week	keryom<br>何曜<br>what-weekday	pikotika level3 compound
Are you free on Saturday?	In terayom, tu ri non opus, ker?<br>内 土曜, 尔 ⊢ 不 力, 何?<br>in earth-weekday, you RI not work, what?	pikotika level3 sentence
How old are you?	Tu anyoturan ri ker?<br>尔 年間 ⊢ 何?<br>you year-interval RI what?	pikotika level3 sentence
I'm 34 years old.	Eko anyoturan ri 34.<br>己 年間 ⊢ 34.<br>me year-interval RI 34.	pikotika level3 sentence
sequence; series	orten<br>序<br>in <i>ord</i>er	pikotika level3 root
again; repeat	repe<br>又<br><i>repe</i>at	pikotika level3 root
know; knowledge	sape<br>知<br>homo <i>sapi</i>ens knows things	pikotika level3 root
next; the one after	tarorten<br>后序<br>after-sequence	pikotika level3 compound
previous; preceding; former	yerorten<br>前序<br>before-sequence	pikotika level3 compound
recover; get back; retrieve	repetoma<br>又取<br>again-get	pikotika level3 compound
recall; recollect; call to mind	repesape<br>又知<br>again-know	pikotika level3 compound
repeat; say again	repetika<br>又言<br>again-say	pikotika level3 compound
old (in years); aged	anyomeka<br>年大<br>year-big	pikotika level3 compound
Please bring me a menu.	Pam teneveni a komiorten ver eko.<br>乞 有来 ⇒ 食序 向 己.<br>please have-come A food-sequence to me.	pikotika level3 sentence
I know, I'm sorry.	Eko ri sape; eko ri perton.<br>己 ⊢ 知; 己 ⊢ 悔.<br>I RI know; I RI sorry.	pikotika level3 sentence
I know the woman you met.	Eko ri sape a tu ri sarve rite vema.<br>己 ⊢ 知 ⇒ 尔 ⊢ 会 ⊢> 女.<br>I RI know A you RI meet RI-TE woman.	pikotika level3 sentence
same; equal	sam<br>同<br>the <i>sam</i>e, exactly equal	pikotika level3 root
feel; emotion	senti<br>心<br><i>senti</i>mental feelings	pikotika level3 root
try; test	tentar<br>試<br>a <i>tenta</i>tive first try	pikotika level3 root
look like; resemble; take after	samvite<br>同見<br>same-see	pikotika level3 compound
brother	sampariviro<br>同亲男<br>same-parent-man	pikotika level3 compound
sister	samparivema<br>同亲女<br>same-parent-woman	pikotika level3 compound
week	senseyan<br>7日<br>seven-sun	pikotika level3 compound
weekend	senseyanvin<br>7日閉<br>seven-sun-finish	pikotika level3 compound
It's as good as it was.	Tis ri sam pona vons yerkosa.<br>此 ⊢ 同 好 从 前物.<br>this RI same good than before-thing.	pikotika level3 sentence
The people are kind.	Omo ri ponasenti.<br>人 ⊢ 好心.<br>person RI good-feel.	pikotika level3 sentence
She's my sister.	Tisomo ri eko samparivema.<br>此人 ⊢ 己 同亲女.<br>this-person RI me same-parent-woman.	pikotika level3 sentence
grain; rice	riso<br>米<br><i>riso</i>tto is rice	pikotika level3 root
sweet; sugar	tuke<br>甘<br>sweet enough to <i>tuck</i> into	pikotika level3 root
many; much	mur<br>多<br><i>mor</i>e stuff means we have much of it	pikotika level3 root
amount; degree	mesur<br>寸<br><i>measure</i> the amount	pikotika level3 root
rice (white rice)	ankariso<br>白米<br>white-grain	pikotika level3 compound
wheat	yororiso<br>黄米<br>yellow-grain	pikotika level3 compound
tan; beige	risokoror<br>米色<br>grain-color	pikotika level3 compound
coffee	neropipe<br>黒飲<br>black-drink	pikotika level3 compound
pig	rusankapeste<br>赤白匹<br>red-white-animal	pikotika level3 compound
less; fewer	nonmas<br>不更<br>not-more	pikotika level3 compound
too [much]; excessively	surmesur<br>上寸<br>up-degree	pikotika level3 compound
owner; proprietor	teneomo<br>有人<br>have-person	pikotika level3 compound
Busy, but good.	Muropus, sets pona.<br>多力, 但 好.<br>many-work, but good.	pikotika level3 sentence
Are they sweet?	Tis ri tuke, ker?<br>此 ⊢ 甘, 何?<br>this RI sweet, what?	pikotika level3 sentence
Very sweet.	Meka tuke.<br>大 甘.<br>big sweet.	pikotika level3 sentence
hundred; 100	katon<br>百<br>a hundred cats — a whole <i>cat-ton</i>!	pikotika level3 root
thousand; 1000	kiru<br>千<br><i>kilo</i> = a thousand	pikotika level3 root
million; 1000000	miron<br>兆<br><i>million</i>	pikotika level3 root
money; price	moni<br>贝<br><i>money</i>	pikotika level3 root
long; tall	ronka<br>长<br>a <i>long</i> h<i>onk</i>	pikotika level3 root
business trip	opusveniire<br>力来行<br>work-come-go	pikotika level3 compound
Is breakfast included?	Suryankomi ri in moni, ker?<br>上日食 ⊢ 内 贝, 何?<br>up-sun-food RI in money, what?	pikotika level3 sentence
That's a long way.	Tis ri ronka moto.<br>此 ⊢ 长 方.<br>this RI long road.	pikotika level3 sentence
Alice: I don't know...  How much is this?	Aras: Eko ri non sape... Tis ri ker moni?<br>Aras: 己 ⊢ 不 知... 此 ⊢ 何 贝?<br>Alice: I RI not know... this RI what money?	pikotika level3 sentence
home; institution	kase<br>户<br>mi <i>casa</i>, my house	pikotika level3 root
room; chamber	kamar<br>室<br>I feel <i>calmer</i> in my own room	pikotika level3 root
map; plan	mapa<br>図<br><i>map, a</i> plan for the building	pikotika level3 root
page; card	karta<br>片<br>buy a <i>card</i> from the gift card <i>cart</i>	pikotika level3 root
tool; device	uter<br>工<br>an <i>ut</i>ensil is a tool	pikotika level3 root
modification, head follows	te<br>><br><i>the</i> head follows	pikotika level3 root
play; fun	yu<br>玩<br><i>you</i> wanna play?	pikotika level3 root
dance	musiire<br>曲行<br>music-movement	pikotika level3 compound
yellow fruit (usually banana)	yoropomo<br>黄果<br>yellow-fruit	pikotika level3 compound
banana	ronkayoropomo<br>长黄果<br>long-yellow-fruit	pikotika level3 compound
Where are you going for summer vacation?	In wotempo yuveniire, tu ri ire ver kerroko?<br>内 火时 玩来行, 尔 ⊢ 行 向 何所?<br>in hot-time play-come-go, you RI go to what-place?	pikotika level3 sentence
Is there hot water in the morning?	In suryan, wo aku ri in kamar, ker?<br>内 上日, 火 水 ⊢ 内 室, 何?<br>in up-sun, hot water RI in room, what?	pikotika level3 sentence
We're going to my father's house.	Ekomen ri ire ver eko viropari kase.<br>己众 ⊢ 行 向 己 男亲 户.<br>I-group RI go to me man-parent home.	pikotika level3 sentence
You're talking.	Tu ri tika.<br>尔 ⊢ 言.<br>you RI say.	pikotika level3 sentence
