gloss	gloss2	category	covers	form	han	mnemonic	etymology	strokes	usage_count	Level
A		Particles	object boundary	a	⇒	*a*im *a*t the *o*bject	Spanish personal *a*, which marks objects: *veo **a** Juan*		100	2
RI		Particles	predicate boundary	ri	⊢	*ri*ght here the predicate starts	predicate boundary; no etymology, deliberately neutral		279	1
TE		Particles	modification, head follows	te	>	*the* head follows	Mandarin 的 *de*, Italian/Spanish *di/de* — the same job in both		8	3
child	offspring	People and society	young of	nino	子	Spanish *niño*	Spanish *niño*	3	14	1
country	state	People and society	nation, homeland	nasyon	国	*nasyon* = *nation*	Spanish nacion; Spanish pais	8	1	5
friend	companion	People and society	ally	ami	朋	*ami*go, my friend	French *ami*, Spanish *amigo*	8	1	5
I	me	People and society	self, own, identity	eko	己	my *ego*, my *echo*: myself	*ego*	3	136	1
law	allow	People and society	rule, permission, authority, government	reke	法	the law says no *wrecki*ng stuff	*lex, legal, legge*	8	4	5
man	male	People and society		viro	男	*vir*ile man	Latin *vir*, *virile*	7	7	2
marry	spouse	People and society	wedded	maris	婚	*Maurice* is *marri*ed	Latin maritare; Latin nuptiae	11	1	5
money	price	People and society	cost, value, payment	moni	贝	*money*	English *money*, Latin *moneta*	4	21	3
parent	ancestor	People and society		pari	亲	*par*ent	*parent, padre, père*	9	15	2
woman	female	People and society		vema	女	from *fema*le	*femina, female*	3	6	2
you		People and society	addressee	tu	尔	et *tu*, Brute (and you, Brutus)?	*tu, tú*, Russian *ty*	5	54	1
art	craft	Places, arts, appearance	artwork, creative craft	arti	芸	an *arti*st makes *art*	Latin ars, artis	7	1	5
city	town	Places, arts, appearance	urban place	sitas	市	*cities*	Latin *civitas*; Spanish *ciudad*; French *cite*; English *city*	5	5	4
color	hue	Places, arts, appearance		koror	色	*color*	*color, colore*	6	3	3
home	house	Places, arts, appearance	dwelling, household	kase	户	mi *casa*, my house	*casa*	4	13	3
music	song	Places, arts, appearance	melody	musi	曲	*musi*c	*music, música*	6	7	2
temple	church	Places, arts, appearance	shrine, sacred place	temper	寺	a *temp*le *temper*s the soul	Latin templum; Latin fanum	6	0	5
bad	wrong	Qualities	poor, unpleasant	marum	悪	careful with those paintings; if you *mar 'em*, that's bad	Latin malum	11	8	2
big	very	Qualities	large, great, intense	meka	大	*mega* = big	*mega-*	3	30	1
clean	pure	Qualities	washed	puru	清	*pure* and clean	Latin purus	11	0	5
fast	soon	Qualities	quick, rapid	veros	早	*ver*y fast, *veloc*ity	Spanish veloz; Latin celer	6	6	2
fear	danger	Qualities	afraid, worry	timo	危	*timi*d = afraid	*timor, timid*	6	6	4
good	pleasant	Qualities	well, fine	pona	好	*bonu*s! good stuff	*bueno, bonus, buono*	6	40	1
hard	difficult	Qualities	firm, solid, rigid	sorin	硬	I'm *sore* from doing difficult stuff on a hard floor	Russian *solidnyj*, Polish *solidny*, Latin *solidus*	12	7	4
heavy	weight	Qualities	weigh, dense	pesa	重	a *peso* weighs heavy	Spanish/Portuguese/Italian *peso*, French *peser*, Latin *pendere*/*pensum*; the currency is literally 'a weight'	9	7	4
long	tall	Qualities	distant, extended	ronka	长	a *long* h*onk*	*long, lungo, largo*	4	9	3
new	fresh	Qualities	young, recent	nova	初	a *nova* caused a brand new star to appear	*nova, nuevo, novel*	7	8	1
old	former	Qualities	aged, past	vetus	古	the *vete*ran is old	Latin vetus; Latin antiquus	5	2	5
small	slight	Qualities	little, minor	piko	小	*pico*- = teeny (metric one trillionth)	*pico-*	3	23	1
amount	degree	Quantity	measure, extent, quantity, count	mesur	寸	*measure* the amount	French *mesure*, Spanish *mesura*, English *measure*, Latin *mensura*	3	9	3
many	much	Quantity	lots, 6+	mur	多	*mor*e stuff means we have much of it	*multi-*	6	10	3
no	none	Quantity	zero, absent	nem	无	*Nem*o is NO-where to be found!	Latin *nemo* "no one"	4	15	2
one	1	Quantity	single, first, alone, the very	wun	一	*one*	English *one*, Spanish *uno*	1	1	1
two	2	Quantity	pair, both	pits	2	a pair of cherry *pits*	Latin *bis*, international *bi-* (bicycle, binary)		1	1
three	3	Quantity		tets	3	picture Three-Eared Triangles — three *tets*	Latin *tres*, Spanish *tres*, Italian *tre*		2	2
four	4	Quantity		wats	4	4 *watts* is just enough to light a bulb these days	Latin *quattuor*, Spanish *cuatro* — /kw/ is an illegal onset, so /w/ carries it		2	2
five	5	Quantity		kins	5	my sister had *quin*tuplets — five *kins*	Latin *quinque* (quintet, quintuple)		1	2
six	6	Quantity		siks	6	*six*	Latin *sex*, French/English *six*, Spanish *seis*		0	2
seven	7	Quantity		sens	7	seven *cents*	Latin *septem*, French *sept*, Italian *sette*		4	2
eight	8	Quantity		ots	8	*oct*opus (minus the 'c') has 8 arms	Latin *octo*, Italian *otto*, Portuguese *oito*		0	2
nine	9	Quantity		noks	9	nine *knocks* on the door	Latin *novem*, Italian *nove*, Spanish *nueve*		0	2
ten	10	Quantity	tens place	tekas	十	a *deca*de is ten years	Greek *dekas* (a group of ten), *deka-* — decade, decathlon; *deka* itself is blocked by tera and meka	2	0	2
hundred	100	Quantity	hundreds place	katon	百	a hundred cats — a whole *cat-ton*!	Greek *hekaton* less the unstressed *he-* (hecatomb); *hekto-* is unwritable — no /h/, and /kt/ is an illegal coda	6	2	3
thousand	1000	Quantity	thousands place	kiru	千	*kilo* = a thousand	Greek *khilioi*, metric *kilo-*; *kiro* is blocked by viro and karo	3	1	3
million	1000000	Quantity	millions place	miron	兆	*million*	Latin *milione*, Spanish *millon*, French *million*; *mega* is unavailable — meka is already big	6	0	3
bend	turn	Shape	curve, fold, corner, angle	kurva	弓	*curve*	Latin curvus	3	4	4
flat	level	Shape	plane, sheet	yano	平	flat as a p*iano* lid	Spanish llano, Latin planus	5	2	5
line	thread	Shape	string, rope, wire	rine	糸	a *line* of thread	Latin linea	6	8	4
round	ball	Shape	circular, curved	rotun	丸	*rotun*d	Latin rotundus	3	6	4
straight	direct	Shape	nonstop, express, upright	reto	直	direct and st*raight-o*	Italian retto, Spanish recto	8	5	4
back	behind	Space and direction	rear, reverse (front = `not-back`)	rets	反	*let's* go back to what's behind us	Latin *retro-* — retro, retreat, retrograde; also covers *reverse*	4	7	4
down	below	Space and direction	low, bottom, under	tun	下	a *tun*nel goes down	English *down*	3	3	5
edge	margin	Space and direction	side, border, boundary, rim, shore	rante	边	stand at the edge and *rant*	German/Dutch *Rand*, Swedish *rand*; English *rim*	5	5	4
far	distant	Space and direction	remote	ron	遠	*lon*g gone, far away	Latin *longe*, Italian *lontano*, French *loin*	13	1	5
from	source	Space and direction	origin, out of	vons	从	a *fon*t is a source, from which things spring	Latin *fons* "source" — coda cluster restores the clipped hook	4	12	2
hole	gap	Space and direction	opening, empty space within	vuko	穴	oh *fuko*, there's hole blocking my way!	Italian buco; Latin cavus	5	1	5
in	at	Space and direction	inside, within	in	内	*in*	Latin *in*	4	52	1
left		Space and direction	left-hand side, west (with `map`)	sini	左	have you *seen* my left hand?	Latin *sinistra*, Italian/Spanish *sinistra/siniestra*; English *sinister*	5	3	5
middle	among	Space and direction	center, between	mets	中	the *Mets* are in the middle of the league this year	Latin *medius*, Spanish *medio*, Italian *mezzo*	4	1	2
near	almost	Space and direction	close, beside, next to, nearly	nir	近	*near*	English *near*	7	4	2
out	beyond	Space and direction	outside, external	eks	外	*ex*it — out you go, to the space beyond!	Latin *ex-*, Spanish *ex-*	5	7	1
right		Space and direction	right-hand side, east (with `map`)	rem	右	*rem*ember: *r* is for *r*ight	⚠ no etymology — see §9	5	2	5
to	toward	Space and direction	into, direction of motion	ver	向	s*wer*ve toward it *ver*y hard	French *vers*, Italian *verso* "toward"	6	27	1
up	above	Space and direction	high, top, over	sur	上	the *sur*face is on top	French *sur*, *super-*	3	18	2
after	later	Time direction	subsequent, future, late	tar	后	*tar*dy — after the bell means you're late	Spanish *tarde*, English *tardy* "late"	6	18	1
before	ago	Time direction	earlier, prior, in the past, early, already	yer	前	*yer*sterday — a day ago, before today	Spanish *ayer*, French *hier* "yesterday"	9	20	1
finish	close	Time direction	shut, end, conclude	vin	閉	photo *fin*ish ends the race	Latin *finis*, Spanish *fin*, Italian *fine*	11	33	1
hour	o'clock	Time direction	clock-time unit	ora	刻	an *h-ora*	Latin hora	8	14	1
interval	duration	Time direction	timespan, temporary	turan	間	the *dur*ation you need *to run*	Latin *durare*, Spanish *durar*, Italian *durata* -- duration	12	11	2
month	moon	Time direction	lunar cycle	mese	月	you *may say* the moon phases take a month	Latin mensis, Italian mese	4	3	3
weekday		Time direction	day of the week	yom	曜	*Yom* Kippur — a named day	Arabic *yawm*, Hebrew *yom* "day"; Korean 요일 *yoil* "day of the week"	18	10	3
year		Time direction	annual cycle	anyo	年	Spanish *año* (year); *annu*al	Spanish ano, Latin annus	6	1	3
agree	deal	Verbs	consent, contract, promise	akor	約	in *accor*d — deal!	Italian accordo, Spanish acuerdo	9	3	5
become	turn into	Verbs	get, come to be; enter a state	tiven	成	tadpoles *dive in* and become frogs	Italian diventare	6	6	4
begin	open	Verbs	start, uncover	apa	开	*hop a* fence and open the gate so we can begin!	⚠ *aperire, abrir* — weakened, see §9	4	6	4
break	cut	Verbs	damage, ruin	rompe	切	*romp*ing kids break things	*romper, rompere, rupture*	4	3	5
buy	commerce	Verbs	purchase, sell, trade, commercial exchange	kompar	買	*compar*e prices, then buy	Spanish comprar; Latin emere	12	20	4
choose	decision	Verbs	decide, pick, select, elect, vote, opt	erike	选	*Erik* got *elected* in the election	*elegir, eleggere, eleger, elect, eligible*	9	7	4
come	arrive	Verbs	approach	veni	来	*veni*, vidi, vici  (I came, I saw, I conquered)	Latin venire	7	27	2
feel	emotion	Verbs	sense, touch	senti	心	*senti*mental feelings	*sentir, sentiment*	4	8	3
fight	conflict	Verbs	battle, argue, compete, oppose, resist, struggle	patar	争	the *patter* of fists landing blows	*battle, batalla, bataille, battaglia*; b -> p as elsewhere in the set	6	6	4
get	take	Verbs	receive, obtain, catch	toma	取	I need to get that *tome*, maybe I'll just take it!	Spanish *tomar* "to take"	8	10	2
give	send	Verbs	offer, provide	tonar	与	be a blood *donor*: give blood to save lives	*donare, donner, donate*	3	11	4
go	movement	Verbs	move, travel, proceed	ire	行	go, move your *ear* and the rest of you too!	Latin *ire*, Spanish *ir*	6	55	1
have	own	Verbs	hold, possess, keep	tene	有	you're *tena*cious if you hold on to what you have	*tener, tenir, tenere*	6	26	2
help	serve	Verbs	assist, care for	servi	助	*servi*ce with a smile	*serve, servir* — our `help` covers *serve, care for*	7	7	4
join	connect	Verbs	combine, attach, unite, link, mix	yunta	合	*you 'n' ta* others are now joined!	Spanish/Portuguese *juntar*/*junto*, Latin *iungere* (junction, adjoin); English *join*, *yoke*; Sanskrit *yuj-* -> *yoga* 'union'; Hindi *jodna*	6	2	5
know	knowledge	Verbs	be informed of, information	sape	知	homo *sapi*ens knows things	*saber, savoir, sapere*	8	10	3
learn	study	Verbs	acquire knowledge	impar	学	*impar*t your wisdom so I can learn it	Latin discere; Italian imparare; tiske was displaced	8	6	4
lose	misplace	Verbs	lost, miss	perti	失	you *part*ed with it, now it's lost	Latin perdere	5	2	5
make	do	Verbs	build, create, cause	vake	作	*bake* it, make it	*facere, fare, fabricate*	7	12	2
meet	encounter	Verbs	run into, come together with	sarve	会	*survey* the people you meet to see what they think	Latin salve, French salut -- what you say on meeting; kanji 会 (Japanese au, "to meet")	6	13	1
necessary	must	Verbs	need, require, have to	neses	要	*neces*sary	Latin necesse	9	9	4
play	fun	Verbs	game, amuse, visit (socially), hang out	yu	玩	*you* wanna play?	Mandarin 游/遊 *you* "play, roam"; Japanese 遊 *yu*; the "visit" sense follows 玩/遊ぶ/놀다 -- an obligatory visit is **ire ver**	8	10	3
put	sit	Verbs	place, set, position, be seated, mount	seta	坐	*set a* thing down, then sit on it	English *set*/*sit* — the causative pair, as German *setzen*/*sitzen*; Spanish *sentar*, Latin *sedere*; the character is two people on the ground	7	5	4
remain	stop	Verbs	halt, cease, stand, stay, wait, pause	sista	止	de*sist* — stop and remain as you are	*sistere, desist, resist* "to halt, to stand"	4	9	4
say	word	Verbs	speak, tell, speech, message	tika	言	the enchanted *teacu*ps can talk and say words!	Latin *dicere* — *dictate, diction*; English *talk*	7	38	1
see	understand	Verbs	look, watch, appear; realize, get it	vite	見	I see the *vide*o	*video, ver, vedere*	7	32	2
sleep	bed	Verbs	rest, recharge, be dormant	tormi	床	*dormi*tories provide beds for sleeping	*dormir, dormant*	7	6	4
sorry	excuse me	Verbs	apology, regret	perton	悔	*pardon* me!	Spanish perdon; Italian scusa	9	9	1
sound	hear	Verbs	listen, noise	oti	耳	I can hear the sound because it's *audi*ble	*audio, oír, udire*	6	7	4
thank	gratitude	Verbs	appreciation	mersi	恩	French *merci*!	French merci; Spanish gracias	10	6	2
think	believe	Verbs	mind, idea, opinion	pensa	思	*pensi*ve thoughts	*pensar, penser, pensive*	9	6	4
try	test	Verbs	attempt, try out, taste-test, sample, check, prove	tentar	試	a *tenta*tive first try	Spanish/Portuguese *tentar*, French *tenter*, Latin *tentare*; English *tentative, attempt*	13	8	3
want	wish	Verbs	desire, hope	vori	求	*vora*cious wanting	Latin *volo, velle*; Italian *volere*, English *volition*	7	22	1
work	job	Verbs	labor, effort, use	opus	力	your magnum *opus* — life's work	Latin *opus*; English *opus, operate, operation*; Spanish *obra*	2	14	2
write	writing	Verbs	text, script, inscribe, record	kita	写	I can write with my writing *kit*	Arabic *kataba* "wrote", *kitab* "book" -- borrowed into Persian, Turkish, Hindi/Urdu, Malay, Swahili	5	11	2
