EN	gloss	categories	root_level	assigned_level
unfriendly person	cold-person	People and society;Qualities	4	
iced tea	cold-plant-water	Food	4	
snow	cold-rain	Nature	4	
winter	cold-time	Time direction	4	4
trip; journey	come-go	Space and direction	2	2
guest; visitor; customer	come-person	People and society	2	
border (of a country); frontier	country-edge	People and society;Space and direction	5	
passport; ID; identity document	country-page	People and society;Made things	5	
adventure trip; expedition	danger-come-go	Space and direction;Qualities	4	
adventure	danger-play	Verbs;Qualities	4	
adventurer	danger-play-person	People and society	4	
warn; warning; alert	danger-say	Verbs;Qualities	4	
caution; careful; cautious; watch out	danger-see	Verbs;Qualities	4	
door handle	door-hand	Made things	5	
evening; afternoon	down-sun	Time direction	5	5
thirsty	drink-want	Body and life;Food	2	2
rug; mat; carpet	earth-cloth	Made things	4	
brown	earth-color	Color	3	3
potato	earth-grain	Food	3	
peanut	earth-hard-fruit	Food	4	
Saturday	earth-weekday	Time direction	3	3
eighth (in a series); 8th	eight-sequence	Quantity	3	
internet; network; online	electric-join	Made things	4	
electronic map	electric-map	Made things	4	
telephone; phone; call	electric-say	Made things	4	4
television; watch TV	electric-see	Made things	4	
lamp; electric light	electric-sun	Made things	4	4
escalator	electric-up-road	Made things;Space and direction	4	
everyone; everybody	every-person	Grammar and logic;People and society	3	3
everywhere	every-place	Grammar and logic;Space and direction	3	3
everything	every-thing	Grammar and logic	3	3
always	every-time	Grammar and logic;Time direction	3	3
voyage; long journey	far-come-go	Space and direction	5	
smart; clever; quick-witted; bright	fast-see	Qualities	2	
facial expression; look on one's face	feel-picture	Body and life;Feelings	4	
army	fight-group	People and society	4	
fighter; soldier	fight-person	People and society	4	
last; final; the end (of a series)	finish-sequence	General heads;Time direction	3	
alcohol (usually wine)	fire-water	Food	3	
Tuesday	fire-weekday	Time direction	3	3
fifth (in a series); 5th	five-sequence	Quantity	3	
flat bread	flat-grain-food	Food	5	
disk	flat-round	Shape	5	
cook (person)	food-make-person	People and society;Food	2	2
restaurant; eatery; diner	food-place	Food;Places, arts, appearance	1	
menu	food-sequence	Food	3	
meal (a sitting); mealtime	food-time	Food;Time direction	1	2
cutlery	food-tool	Made things;Food	3	4
hungry	food-want	Body and life;Food	1	1
quadrilateral; rectangle; square	four-bend	Shape	4	
fourth (in a series); 4th	four-sequence	Quantity	3	
wine	fruit-fire-water	Food	3	
autumn; fall	fruit-time	Time direction	1	4
fetch; go and get	get-go	Verbs	2	2
luggage; suitcase; baggage	go-box	Made things	4	4
hallway; corridor	go-room	Made things;Places, arts, appearance	3	
kind (good-hearted); good-hearted; kindness	good-feel	Qualities;Feelings	3	5
lucky; good luck	good-if	Qualities	4	
beautiful; pretty; good-looking; beauty	good-see	Qualities;Places, arts, appearance	2	2
wise; sensible; wisdom	good-think	Qualities	4	
sage; wise person	good-think-person	People and society;Qualities	4	
tan; beige	grain-color	Color	3	3
beer (any grain alcohol)	grain-fire-water	Food	3	
bread	grain-food	Food	3	
vegetables	green-food	Food	3	
park	green-place	Places, arts, appearance;Nature	3	
green light (permission); go-ahead	green-say	Grammar and logic	3	
collect; gather	group-join	Verbs	2	
lend a hand; help out	hand-give	Verbs;People and society	5	5
cash	hand-money	People and society	5	
debit card	hand-money-card	Made things;People and society	5	
welcome	happy-come	People and society;Verbs	2	2
hello	happy-meet	People and society;Verbs	1	1
smile	happy-mouth	Feelings;Body and life	4	5
nut	hard-fruit	Food	4	
stubborn	hard-head	Qualities;People and society	4	
bring	have-come	Verbs	2	2
food supplies; provisions; stores	have-food	Food	2	
carry; take along; transport	have-go	Verbs	2	2
owner; proprietor	have-person	People and society	2	3
headache; nuisance	head-sick	Body and life	4	4
hospital	heal-home	Places, arts, appearance;Body and life	4	
exercise	heal-movement	Body and life;Verbs	4	
gym	heal-movement-place	Places, arts, appearance;Body and life	4	
ointment; salve; balm	heal-oil	Body and life;Made things	5	
doctor	heal-person	People and society;Body and life	4	4
well-balanced; well-adjusted; sane	heal-think	Qualities;Body and life	4	
medical test; checkup; examination (medical)	heal-try	Body and life	4	
ear	hear-part	Body and life	4	5
weigh; measure the weight of	heavy-amount	Verbs;Quantity	4	
important; significant; essential; major	heavy-necessary	Qualities	4	4
helpful	help-give	Qualities;Verbs	4	
you-are-here map; directory map; orientation map	help-map	Made things	4	
helper; waiter; attendant; servant; staff (person)	help-person	People and society	4	
cat; pet	home-animal	Nature	3	4
pet dog	home-dog	Nature	5	5
floor (of a building); storey	home-sequence	Places, arts, appearance;Space and direction	3	
spicy	hot-taste	Food;Qualities	4	4
chili pepper	hot-taste-thing	Food	4	
summer	hot-time	Time direction	3	4
clock time; time of day	hour-say	Time direction	1	
hundredth (in a series); 100th	hundred-sequence	Quantity	3	
we; us	I-group	Grammar and logic;People and society	1	1
should	if-good	Grammar and logic	4	4
finally; at last; in the end; eventually	in-finish	Time direction	1	1
percent; per cent; %	in-hundred	Quantity	3	
actually; in truth	in-true	Grammar and logic	1	1
hire; lease; rent	interval-buy	Verbs;People and society	4	
borrow	interval-get	Verbs	2	
lend; loan	interval-give	Verbs;People and society	4	
password	key-say	Made things	5	5
remember; retain; keep in mind; memory	know-have	Verbs	3	
forget	know-lose	Verbs	5	5
apply knowledge; act on what one knows	know-make	Verbs	3	
practitioner; expert	know-make-person	People and society;Verbs	3	
test (of knowledge); exam; quiz	know-try	Verbs	3	
intelligence; aptitude; intelligent	learn-can	Qualities	4	
teach; instruct	learn-give	Verbs	4	
teacher; instructor	learn-give-person	People and society;Verbs	4	
student; pupil; learner	learn-person	People and society;Verbs	4	
school	learn-place	Places, arts, appearance	4	4
curriculum; syllabus; course of study	learn-sequence	General heads;Verbs	4	
walk	leg-go	Verbs;Body and life	4	4
jump; leap	leg-up-go	Verbs;Body and life	4	
bicycle	leg-vehicle	Made things	4	
public transit; transit	line-vehicle	Made things	4	4
transit station (bus/train)	line-vehicle-place	Places, arts, appearance	4	
thief	long-hand	People and society	5	
oval; ellipse	long-round	Shape	4	
river	long-water	Nature	3	4
banana	long-yellow-fruit	Food	3	3
know-how; practical knowledge	make-know	Verbs;Qualities	3	
father	man-parent	People and society	2	2
polygon	many-bend	Shape	4	
knowledgeable; learned; erudition	many-know	Verbs;Qualities	3	
book	many-page	Made things	3	
library	many-page-home	Places, arts, appearance	3	
bus	many-person-vehicle	Made things	3	4
busy	many-work	Qualities;Verbs	3	
south	map-down	Space and direction	5	5
west	map-left	Space and direction	5	5
east	map-right	Space and direction	5	5
north	map-up	Space and direction	3	5
spouse	marry-person	People and society	5	5
shame	me-bad-feel	Feelings	3	5
pride	me-good-feel	Feelings	3	5
train	metal-line-vehicle	Made things	4	4
coin	metal-money	People and society;Material	3	
Friday	metal-weekday	Time direction	3	3
midday; noon	middle-sun	Time direction	2	2
cow	milk-animal	Nature	4	
beef	milk-animal-meat	Food	4	
millionth (in a series); 1000000th	million-sequence	Quantity	3	
price; fee; cost	money-amount	People and society;Quantity	3	
wallet; purse	money-box	Made things	4	
payment card; bank card	money-card	Made things;People and society	3	
turnstile; ticket gate	money-door	Made things	4	
earn	money-get	Verbs;People and society	3	
bank	money-home	Places, arts, appearance;People and society	3	
Monday	month-weekday	Time direction	3	3
concert hall	music-home	Places, arts, appearance	3	
dance	music-movement	Places, arts, appearance	2	3
musical instrument	music-tool	Made things;Places, arts, appearance	3	
business card	name-card	Made things	3	
list; roster; register	name-sequence	General heads	3	
on that note; relatedly; speaking of which	near-about	Grammar and logic	2	
hello (someone new)	new-meet	People and society;Verbs	1	1
discover; find something new	new-see	Verbs	2	2
ninth (in a series); 9th	nine-sequence	Quantity	3	
peace	no-fight	People and society	4	
free; free of charge	no-money	Qualities;People and society	3	
nobody; no one	no-person	Grammar and logic;People and society	2	2
nowhere	no-place	Grammar and logic;Space and direction	2	2
night	no-sun	Time direction	2	2
nothing	no-thing	Grammar and logic	2	2
never	no-time	Grammar and logic;Time direction	2	2
gluten-free food	no-yellow-grain-food	Food	3	
not enough; insufficient	not-all	Quantity	3	
calm	not-anger	Feelings;Qualities	5	5
slow; slowly	not-fast	Qualities	2	2
brave	not-fear	Qualities	4	
enemy	not-friend	People and society	5	5
sad	not-happy	Feelings	1	2
easy	not-hard	Qualities	4	5
light (in weight); lightweight	not-heavy	Qualities	4	
helpless	not-help	Qualities	4	
unhelpful	not-help-give	Qualities	4	
illegal	not-law	People and society;Qualities	5	5
crime	not-law-work	People and society	5	
vegetarian	not-meat-food-person	People and society;Food	4	
less; fewer	not-more	Quantity	2	3
dry season	not-rain-time	Time direction;Nature	4	4
random; disordered; messy	not-sequence	Qualities	3	
expect; anticipate	not-surprise	Verbs	5	5
sour	not-sweet	Food;Qualities	3	
lemon	not-sweet-yellow-fruit	Food	3	
that; those	not-this	Grammar and logic	1	1
false; untrue; if (counterfactual)	not-true	Grammar and logic	1	2
lie; lying; dishonesty	not-true-say	Qualities;People and society	1	
be defeated; lose a contest; lose a game	not-up-become	Verbs	4	
off; free; off duty	not-work	Qualities;Verbs	2	
day off; holiday	not-work-sun	Time direction	2	
time off; break; the holidays	not-work-time	Time direction	2	
fried	oil-make	Food	5	5
fried rice	oil-white-grain	Food	5	5
first (in a series); 1st	one-sequence	Quantity	3	
anyway; by the way; incidentally	other-about	Grammar and logic	5	5
change; become different; turn into something else	other-become	Verbs	5	
change; alter; modify	other-make	Verbs	5	
someone else; another person; others	other-person	Grammar and logic;People and society	5	5
gossip	other-person-say	People and society;Verbs	5	
somewhere else; elsewhere	other-place	Grammar and logic;Space and direction	5	5
something else; anything else	other-thing	Grammar and logic	5	5
abroad; foreign; overseas	out-country	People and society;Space and direction	5	5
depart; leave (depart)	out-go	Verbs;Space and direction	1	1
margin (of a page)	page-edge	Made things;Space and direction	4	
relative (kin)	parent-group	People and society	2	2
queue; line (of people)	person-sequence	People and society;General heads	3	
cinema; movie theater	picture-home	Places, arts, appearance	4	
comic book; comics; manga	picture-many-page	Made things;Places, arts, appearance	4	5
local; local person	place-person	People and society;Places, arts, appearance	1	
harvest	plant-get	Verbs;Nature	2	
spring (season)	plant-time	Time direction	1	4
tea	plant-water	Food	1	1
Thursday	plant-weekday	Time direction	3	3
vacation; holiday	play-come-go	Verbs;Time direction	3	4
contest; match; competition	play-fight	Verbs;People and society	4	
party (celebration)	play-group	People and society;Verbs	3	
theater; playhouse	play-home	Places, arts, appearance	3	
playground	play-place	Places, arts, appearance	3	
toy	play-thing	Made things;Verbs	3	
respect	please-feel	Feelings;People and society	3	
courtesy	please-manner	People and society	2	
politeness (verbal)	please-say	People and society	1	2
seat	put-place	Made things;Space and direction	4	
chair	put-tool	Made things	4	
cloud; cloudy	rain-air	Nature	4	
raincoat	rain-cloth	Made things	4	
rainy season; wet season	rain-time	Time direction;Nature	4	4
umbrella	rain-tool	Made things	4	
purple	red-blue	Color	3	3
tomato sauce	red-food	Food	3	
tomato	red-fruit	Food	3	
pink	red-white	Color	3	3
pig	red-white-animal	Nature	3	3
pork	red-white-animal-meat	Food	4	
orange	red-yellow	Color	3	3
patience; patient	remain-can	Feelings;Qualities	4	
relative clause marker	RI-TE	Particles;Grammar and logic	3	5
junction; intersection; crossroads	road-join	Space and direction;Places, arts, appearance	2	
road map; roadmap	road-map	Made things	3	
circle; ring; hoop	round-line	Shape	4	
tie; draw (in a contest)	same-become	Verbs	4	
likewise; similarly	same-manner	Grammar and logic	3	
brother	same-parent-man	People and society	3	3
sister	same-parent-woman	People and society	3	3
look like; resemble; take after; look alike	same-see	Verbs;Qualities	3	3
argue; quarrel	say-fight	Verbs;People and society	4	
language; tongue (language)	say-manner	People and society	2	
story; tale	say-thing	Places, arts, appearance	1	1
narrator; storyteller	say-thing-person	People and society;Places, arts, appearance	1	
window	see-hole	Made things	5	5
eye	see-part	Body and life	2	2
tears; cry	see-water	Body and life;Feelings	2	2
step (in a procedure)	sequence-part	General heads	3	
sort; arrange; put in order	sequence-put	Verbs	4	
seventh (in a series); 7th	seven-sequence	Quantity	3	
week	seven-sun	Time direction	2	3
weekend	seven-sun-finish	Time direction	2	3
pain; hurt; ache	sick-feel	Body and life	4	4
sixth (in a series); 6th	six-sequence	Quantity	3	
blanket; bedding	sleep-cloth	Made things	4	
hotel	sleep-home	Places, arts, appearance	4	
annoyance	small-anger	Feelings	5	5
serene; relaxed; peaceful	small-happy	Feelings	1	
goat; sheep	small-milk-animal	Nature	4	
lamb	small-milk-animal-meat	Food	4	
cheap; inexpensive	small-money	Qualities;People and society	3	
second (of time)	small-part	Time direction	1	
small talk; chat; Pikotika (the language)	small-say	People and society	1	1
quiet; soft (sound)	small-sound	Qualities	4	
sand; gravel	small-stone	Nature;Material	3	
moment	small-time	Time direction	1	1
bye	sorry-go	People and society;Verbs	1	1
goodbye	sorry-out-go	People and society;Verbs	1	1
grey	stone-color	Color	3	3
frank; blunt; direct	straight-say	Qualities;People and society	4	
until; till; up to (in time)	straight-to	Time direction;Grammar and logic	4	5
tomorrow	sun-after	Time direction	1	2
sunny	sun-air	Nature;Qualities	3	
yesterday	sun-before	Time direction	1	2
Sunday	sun-weekday	Time direction	3	3
flatterer; smooth talker	sweet-mouth	People and society	4	
spice	taste-thing	Food	4	
tenth (in a series); 10th	ten-sequence	Quantity	3	
attention; pay attention; attend to; attentive	think-give	Verbs	4	
tonight	this-no-sun	Time direction	2	2
he; she; him; her; they (people); them (people)	this-person	Grammar and logic;People and society	1	1
therefore; that's why; for this reason	this-reason	Grammar and logic	4	4
today	this-sun	Time direction	1	2
now; at present	this-time	Time direction	1	1
kilometer	thousand-meter	Quantity;Space and direction	3	
thousandth (in a series); 1000th	thousand-sequence	Quantity	3	
triangle	three-bend	Shape	4	4
third (in a series); 3rd	three-sequence	Quantity	3	
calendar	time-page	Time direction;Made things	3	
wait a while; wait around	time-remain	Verbs;Time direction	4	
schedule; timetable	time-sequence	General heads;Time direction	3	
toilet paper	toilet-page	Made things	5	
honesty; truthfulness	true-say	Qualities;People and society	1	
experience; experienced	try-know	Verbs;Qualities	3	
practice; rehearse; rehearsal	try-learn	Verbs	4	
search; look for; seek	try-see	Verbs	3	
proof; evidence; verify; confirm	try-true	Verbs;Grammar and logic	3	
experiment	try-work	Verbs	3	
second (in a series); 2nd	two-sequence	Quantity	3	
win; prevail	up-become	Verbs	4	
winner	up-become-person	People and society	4	
too [much]; excessively	up-degree	Grammar and logic;Quantity	3	3
elevator; lift	up-down-room	Made things;Space and direction	5	5
mountain	up-earth	Nature	3	4
rise; ascend; go up	up-go	Verbs;Space and direction	2	
stairs; staircase; ramp; way up	up-road	Space and direction;Made things	2	
morning	up-sun	Time direction	2	2
breakfast	up-sun-food	Food	2	2
horse; mount	vehicle-animal	Nature	2	
drive; travel by vehicle	vehicle-go	Verbs;Made things	1	1
auto shop; repair garage	vehicle-heal-place	Places, arts, appearance;Made things	4	
station; parking garage; parking lot	vehicle-place	Places, arts, appearance	1	1
ride; go by vehicle	vehicle-put	Verbs;Made things	4	
request; ask for	want-say	Verbs	1	1
fog; mist	water-air	Nature	3	
fish	water-animal	Nature	2	2
glass (drinking vessel)	water-box	Made things	4	
mud	water-earth	Nature	3	
shore; coast; riverbank	water-edge	Nature;Space and direction	4	
soup	water-food	Food	1	2
swim	water-go	Verbs	1	2
porridge; congee	water-grain	Food	3	
ship; boat	water-vehicle	Made things	1	2
Wednesday	water-weekday	Time direction	3	3
what time; at what o'clock	what-hour	Grammar and logic;Time direction	1	2
how	what-manner	Grammar and logic	2	2
who	what-person	Grammar and logic;People and society	1	2
where	what-place	Grammar and logic;Space and direction	1	2
why	what-reason	Grammar and logic	4	4
question; ask; inquire	what-say	Grammar and logic;Verbs	1	2
whatever; whichever thing	what-thing	Grammar and logic	1	4
when; on what occasion	what-time	Grammar and logic;Time direction	1	2
what day; on what day of the week	what-weekday	Grammar and logic;Time direction	3	3
rice (white rice)	white-grain	Food	3	3
sake	white-grain-fire-water	Food	3	
mother	woman-parent	People and society	2	2
business trip	work-come-go	Space and direction;Verbs	2	3
boss	work-head	People and society	4	4
office	work-room	Made things;Places, arts, appearance	3	
work day; business day	work-sun	Time direction	2	
report; document (written)	write-page	Made things	3	
writer; author	write-person	People and society;Verbs	2	2
text; writing (text)	write-say	Made things;Verbs	2	
read	write-see	Verbs	2	2
reader	write-see-person	People and society;Verbs	2	2
pen (pen or pencil)	write-tool	Made things	3	
old (in years); aged	year-big	Qualities	3	3
age	year-interval	Time direction;Quantity	3	4
season	year-part	Time direction	3	4
young	year-small	Qualities	3	4
yellow fruit (usually banana)	yellow-fruit	Food	3	3
wheat	yellow-grain	Food	3	3
wheat bread	yellow-grain-food	Food	3	
