#separator:tab
#html:true
#columns:Front	Back	Tags
You are right.	Tu ri ves.<br>尔 ⊢ 真.<br>you RI true.	pikotika level1 sentence
I'm here.	Eko ri in tisroko.<br>己 ⊢ 内 此所.<br>I RI in this-place.	pikotika level1 sentence
person; one who	omo<br>人<br>h<i>omo</i> sapiens — a person	pikotika level1 root
child; offspring	nino<br>子<br>Spanish <i>niño</i>	pikotika level1 root
group; team	men<br>众<br>a whole group of <i>men</i> forming a team	pikotika level1 root
thing; matter	kosa<br>物<br>Spanish/Italian "cosa"	pikotika level1 root
we; us	ekomen<br>己众<br>I-group	pikotika level1 compound
he; she; him	tisomo<br>此人<br>this-person	pikotika level1 compound
that; those	nontis<br>不此<br>not-this	pikotika level1 compound
The child is small.	Nino ri piko.<br>子 ⊢ 小.<br>child RI small.	pikotika level1 sentence
The child wants water.	Nino ri vori a aku.<br>子 ⊢ 求 ⇒ 水.<br>child RI want A water.	pikotika level1 sentence
He/she is eating.	Tisomo ri komi.<br>此人 ⊢ 食.<br>this-person RI food.	pikotika level1 sentence
sun; day	yan<br>日<br><i>yan</i>g: the bright sunny side ☯	pikotika level1 root
hour; o'clock	ora<br>刻<br>an <i>h-ora</i>	pikotika level1 root
time; occasion	tempo<br>时<br><i>tempo</i> is time	pikotika level1 root
finish; close	vin<br>閉<br>photo <i>fin</i>ish ends the race	pikotika level1 root
moment	pikotempo<br>小时<br>small-time	pikotika level1 compound
ready; prepared	yervin<br>前閉<br>before-finish	pikotika level1 compound
finally; at last; in the end	invin<br>内閉<br>in-finish	pikotika level1 compound
now; at present	tistempo<br>此时<br>this-time	pikotika level1 compound
I wanted to go (but didn't).	Eko ri vori ire vin.<br>己 ⊢ 求 行 閉.<br>I RI want go finish.	pikotika level1 sentence
Tomorrow we're going to the sea.	Yantar, ekomen ri ire ver mekaaku.<br>日后, 己众 ⊢ 行 向 大水.<br>day-after, I-group RI go to big-water.	pikotika level1 sentence
It's late.	Tempo ri tar.<br>时 ⊢ 后.<br>time RI after.	pikotika level1 sentence
say; word	tika<br>言<br>the enchanted <i>teacu</i>ps can talk and say words!	pikotika level1 root
what; question	ker<br>何<br>I <i>care</i> what is what!	pikotika level1 root
one; 1	wun<br>一<br><i>one</i>	pikotika level1 root
two; 2	pits<br>2<br>a pair of cherry <i>pits</i>	pikotika level1 root
story; tale	tikakosa<br>言物<br>say-thing	pikotika level1 compound
request; ask for	voritika<br>求言<br>want-say	pikotika level1 compound
small talk; chat; Pikotika (the language)	pikotika<br>小言<br>small-say	pikotika level1 compound
A short one.	Piko tikakosa.<br>小 言物.<br>small say-thing.	pikotika level1 sentence
Ask inside the station.	Pam voritika in karoroko.<br>乞 求言 内 车所.<br>please want-say in vehicle-place.	pikotika level1 sentence
Really?	Ves, ker?<br>真, 何?<br>true, what?	pikotika level1 sentence
Of course!	Ves!<br>真!<br>true!	pikotika level1 sentence
Take care (parting).	Pona ire.<br>好 行.<br>good go.	pikotika level1 sentence
Alice: Yes please.	Aras: Si, pam.<br>Aras: 是, 乞.<br>Alice: yes, please.	pikotika level1 sentence
How are you?	Tu ri pona, ker?<br>尔 ⊢ 好, 何?<br>you RI good, what?	pikotika level1 sentence
Please leave.	Pam eksire.<br>乞 外行.<br>please out-go.	pikotika level1 sentence
