#separator:tab
#html:true
#columns:Front	Back	Tags
old (in years); aged	anyomeka<br>年大<br>year-big	pikotika level3 compound
Please bring me a menu.	Pam teneveni a komiorten ver eko.<br>乞 有来 ⇒ 食序 向 己.<br>please have-come A food-sequence to me.	pikotika level3 sentence
I know, I'm sorry.	Eko ri sape; eko ri perton.<br>己 ⊢ 知; 己 ⊢ 悔.<br>I RI know; I RI sorry.	pikotika level3 sentence
I know the woman you met.	Eko ri sape a tu ri sarve rite vema.<br>己 ⊢ 知 ⇒ 尔 ⊢ 会 ⊢> 女.<br>I RI know A you RI meet RI-TE woman.	pikotika level3 sentence
same; equal	sam<br>同<br>the <i>sam</i>e, exactly equal	pikotika level3 root
feel; emotion	senti<br>心<br><i>senti</i>mental feelings	pikotika level3 root
try; test	tentar<br>試<br>a <i>tenta</i>tive first try	pikotika level3 root
look like; resemble; take after	samvite<br>同見<br>same-see	pikotika level3 compound
brother	sampariviro<br>同亲男<br>same-parent-man	pikotika level3 compound
sister	samparivema<br>同亲女<br>same-parent-woman	pikotika level3 compound
week	senseyan<br>7日<br>seven-day	pikotika level3 compound
weekend	senseyanvin<br>7日閉<br>seven-day-finish	pikotika level3 compound
Same as always.	Sam vons pantempo.<br>同 从 全时.<br>same from every-time.	pikotika level3 sentence
It's as good as it was.	Tis ri sam pona vons yerkosa.<br>此 ⊢ 同 好 从 前物.<br>this RI same good than before-thing.	pikotika level3 sentence
Please try again.	Pam repe tentar.<br>乞 又 試.<br>please again try.	pikotika level3 sentence
grain; rice	riso<br>米<br><i>riso</i>tto is rice	pikotika level3 root
sweet; sugar	tuke<br>甘<br>sweet enough to <i>tuck</i> into	pikotika level3 root
many; much	mur<br>多<br><i>mor</i>e stuff means we have much of it	pikotika level3 root
amount; degree	mesur<br>寸<br><i>measure</i> the amount	pikotika level3 root
rice (white rice)	ankariso<br>白米<br>white-grain	pikotika level3 compound
wheat	yororiso<br>黄米<br>yellow-grain	pikotika level3 compound
tan; beige	risokoror<br>米色<br>grain-color	pikotika level3 compound
coffee	neropipe<br>黒飲<br>black-drink	pikotika level3 compound
pig	rusankapeste<br>赤白匹<br>red-white-animal	pikotika level3 compound
less; fewer	nonmas<br>不更<br>not-more	pikotika level3 compound
too [much]; excessively	surmesur<br>上寸<br>up-degree	pikotika level3 compound
owner; proprietor	teneomo<br>有人<br>own-person	pikotika level3 compound
Busy, but good.	Muropus, sets pona.<br>多力, 但 好.<br>many-work, but good.	pikotika level3 sentence
Are they sweet?	Tis ri tuke, ker?<br>此 ⊢ 甘, 何?<br>this RI sweet, what?	pikotika level3 sentence
Very sweet.	Meka tuke.<br>大 甘.<br>big sweet.	pikotika level3 sentence
hundred; 100	katon<br>百<br>a hundred cats — a whole <i>cat-ton</i>!	pikotika level3 root
thousand; 1000	kiru<br>千<br><i>kilo</i> = a thousand	pikotika level3 root
million; 1000000	miron<br>兆<br><i>million</i>	pikotika level3 root
money; price	moni<br>贝<br><i>money</i>	pikotika level3 root
long; tall	ronka<br>长<br>a <i>long</i> h<i>onk</i>	pikotika level3 root
business trip	opusveniire<br>力来行<br>work-come-go	pikotika level3 compound
Is breakfast included?	Suryankomi ri in moni, ker?<br>上日食 ⊢ 内 贝, 何?<br>up-sun-food RI in money, what?	pikotika level3 sentence
That's a long way.	Tis ri ronka moto.<br>此 ⊢ 长 方.<br>this RI long road.	pikotika level3 sentence
Alice: I don't know...  How much is this?	Aras: Eko ri non sape... Tis ri ker moni?<br>Aras: 己 ⊢ 不 知... 此 ⊢ 何 贝?<br>Alice: I RI not know... this RI what money?	pikotika level3 sentence
home; institution	kase<br>户<br>mi <i>casa</i>, my house	pikotika level3 root
room; chamber	kamar<br>室<br>I feel <i>calmer</i> in my own room	pikotika level3 root
map; plan	mapa<br>図<br><i>map, a</i> plan for the building	pikotika level3 root
page; card	karta<br>片<br>buy a <i>card</i> from the gift card <i>cart</i>	pikotika level3 root
tool; device	uter<br>工<br>an <i>ut</i>ensil is a tool	pikotika level3 root
modification, head follows	te<br>><br><i>the</i> head follows	pikotika level3 root
play; fun	yu<br>玩<br><i>you</i> wanna play?	pikotika level3 root
dance	musiire<br>曲行<br>music-movement	pikotika level3 compound
yellow fruit (usually banana)	yoropomo<br>黄果<br>yellow-fruit	pikotika level3 compound
banana	ronkayoropomo<br>长黄果<br>long-yellow-fruit	pikotika level3 compound
Do you have a pet?	Tu ri tene a kasepeste, ker?<br>尔 ⊢ 有 ⇒ 户匹, 何?<br>you RI have A home-animal, what?	pikotika level3 sentence
I work at a bank.	Eko ri opus in monikase.<br>己 ⊢ 力 内 贝户.<br>I RI work in money-home.	pikotika level3 sentence
Is there hot water in the morning?	In suryan, wo aku ri in kamar, ker?<br>内 上日, 火 水 ⊢ 内 室, 何?<br>in up-sun, hot water RI in room, what?	pikotika level3 sentence
Thank you.	Mersi.<br>恩.<br>thank.	pikotika level3 sentence
Nice to meet you.	Eko ri konten sarve a tu.<br>己 ⊢ 楽 会 ⇒ 尔.<br>I RI happy meet A you.	pikotika level3 sentence
Can we meet?	Ekomen ri kan sarve, ker?<br>己众 ⊢ 能 会, 何?<br>I-group RI can meet, what?	pikotika level3 sentence
The story is beautiful, but it isn't true.	Tikakosa ri ponavite, sets tis ri non ves.<br>言物 ⊢ 好見, 但 此 ⊢ 不 真.<br>say-thing RI good-see, but this RI not true.	pikotika level3 sentence
Can I have some water?	Eko ri kan toma a aku, ker?<br>己 ⊢ 能 取 ⇒ 水, 何?<br>I RI can get A water, what?	pikotika level3 sentence
Prices are going up.	Monimesur ri surire.<br>贝寸 ⊢ 上行.<br>money-amount RI up-go.	pikotika level3 sentence
